idnum,href,full_link,name
385,/wiki/Carnival_Legend,https://en.wikipedia.org/wiki/Carnival_Legend,CARNIVAL LEGEND
387,/wiki/Carnival_Liberty,https://en.wikipedia.org/wiki/Carnival_Liberty,CARNIVAL LIBERTY
389,/wiki/Carnival_Luminosa,https://en.wikipedia.org/wiki/Carnival_Luminosa,CARNIVAL LUMINOSA
392,/wiki/Brisbane,https://en.wikipedia.org/wiki/Brisbane,BRISBANE
393,/wiki/Carnival_Magic,https://en.wikipedia.org/wiki/Carnival_Magic,CARNIVAL MAGIC
396,/wiki/Port_Canaveral,https://en.wikipedia.org/wiki/Port_Canaveral,PORT CANAVERAL
397,/wiki/Carnival_Miracle,https://en.wikipedia.org/wiki/Carnival_Miracle,CARNIVAL MIRACLE
400,/wiki/Carnival_Panorama,https://en.wikipedia.org/wiki/Carnival_Panorama,CARNIVAL PANORAMA
403,/wiki/Carnival_Paradise,https://en.wikipedia.org/wiki/Carnival_Paradise,CARNIVAL PARADISE
406,/wiki/Carnival_Pride,https://en.wikipedia.org/wiki/Carnival_Pride,CARNIVAL PRIDE
409,/wiki/Kiel,https://en.wikipedia.org/wiki/Kiel,KIEL
410,/wiki/Carnival_Radiance,https://en.wikipedia.org/wiki/Carnival_Radiance,CARNIVAL RADIANCE
413,/wiki/Carnival_Sensation,https://en.wikipedia.org/wiki/Carnival_Sensation,CARNIVAL SENSATION
416,/wiki/Carnival_Spirit,https://en.wikipedia.org/wiki/Carnival_Spirit,CARNIVAL SPIRIT
419,/wiki/Sydney,https://en.wikipedia.org/wiki/Sydney,SYDNEY
420,/wiki/Carnival_Splendor,https://en.wikipedia.org/wiki/Carnival_Splendor,CARNIVAL SPLENDOR
423,/wiki/Circular_Quay,https://en.wikipedia.org/wiki/Circular_Quay,CIRCULAR QUAY
424,/wiki/Sydney,https://en.wikipedia.org/wiki/Sydney,SYDNEY
425,/wiki/Carnival_Sunrise,https://en.wikipedia.org/wiki/Carnival_Sunrise,CARNIVAL SUNRISE
428,"/wiki/Nassau,_Bahamas","https://en.wikipedia.org/wiki/Nassau,_Bahamas","NASSAU, BAHAMAS"
429,/wiki/Carnival_Sunshine,https://en.wikipedia.org/wiki/Carnival_Sunshine,CARNIVAL SUNSHINE
432,/wiki/Carnival_Valor,https://en.wikipedia.org/wiki/Carnival_Valor,CARNIVAL VALOR
435,/wiki/Costa_Maya,https://en.wikipedia.org/wiki/Costa_Maya,COSTA MAYA
436,/wiki/Carnival_Venezia,https://en.wikipedia.org/wiki/Carnival_Venezia,CARNIVAL VENEZIA
